Function Stack	CPU Time:Total	CPU Time:Effective Time:Total	CPU Time:Spin Time:Total	CPU Time:Overhead Time:Total	CPU Time:Self	CPU Time:Effective Time:Self	CPU Time:Spin Time:Self	CPU Time:Overhead Time:Self	Module	Function (Full)	Source File	Start Address
Total	100.000000	100.000000			0.0	0.0	0.0	0.0	[Unknown]	[Unknown]	[Unknown]	[Unknown]
 _start	100.000000	100.000000			0.0	0.0	0.0	0.0	extractor4	_start	[Unknown]	0x2c50
  __libc_start_main_impl	100.000000	100.000000			0.0	0.0	0.0	0.0	libc.so.6	__libc_start_main_impl	libc-start.c	0x2a200
   main	100.000000	100.000000			0.0	0.0	0.0	0.0	extractor4	main	[Unknown]	0x25f0
    avcodec_send_packet	96.236472	96.236472			0.0	0.0	0.0	0.0	libavcodec.so.62	avcodec_send_packet	decode.c	0x2b9e90
     decode_receive_frame_internal	96.236472	96.236472			0.0	0.0	0.0	0.0	libavcodec.so.62	decode_receive_frame_internal	decode.c	0x2b9b20
      ff_decode_receive_frame_internal	96.236472	96.236472			0.0	0.0	0.0	0.0	libavcodec.so.62	ff_decode_receive_frame_internal	decode.c	0x2b95f0
       decode_simple_receive_frame	96.236472	96.236472			0.0	0.0	0.0	0.0	libavcodec.so.62	decode_simple_receive_frame	decode.c	0x2b96c0
        decode_simple_internal	96.236472	96.236472			0.0	0.0	0.0	0.0	libavcodec.so.62	decode_simple_internal	decode.c	0x2b96c0
         h264_decode_frame	96.236472	96.236472			0.0	0.0	0.0	0.0	libavcodec.so.62	h264_decode_frame	h264dec.c	0x419ec0
          decode_nal_units	93.079969	93.079969			0.0	0.0	0.0	0.0	libavcodec.so.62	decode_nal_units	h264dec.c	0x419fb7
           ff_h264_execute_decode_slices	92.629706	92.629706			0.0	0.0	0.0	0.0	libavcodec.so.62	ff_h264_execute_decode_slices	h264_slice.c	0x410680
            decode_slice	92.629706	92.629706			0.0	0.0	0.0	0.0	libavcodec.so.62	decode_slice	h264_slice.c	0x40efc0
             ff_h264_decode_mb_cabac	92.629706	92.629706			0.136244	0.136244	0.0	0.0	libavcodec.so.62	ff_h264_decode_mb_cabac	h264_cabac.c	0x3c9660
              decode_cabac_luma_residual_skip	52.187231	52.187231			0.056227	0.056227	0.0	0.0	libavcodec.so.62	decode_cabac_luma_residual_skip	h264_cabac.c	0x3c9070
               decode_cabac_residual_nondc_skip	35.182349	35.182349			0.011995	0.011995	0.0	0.0	libavcodec.so.62	decode_cabac_residual_nondc_skip	h264_cabac.c	0x3c9390
                decode_cabac_residual_nondc_internal_skip	32.923712	32.923712			0.019975	0.019975	0.0	0.0	libavcodec.so.62	decode_cabac_residual_nondc_internal_skip	h264_cabac.c	0x3c7400
                 decode_cabac_residual_internal_skip	32.172759	32.172759			0.031993	0.031993	0.0	0.0	libavcodec.so.62	decode_cabac_residual_internal_skip	h264_cabac.c	0x3c7402
                  decode_significance_skip_x86	21.491724	21.491724			0.571680	0.571680	0.0	0.0	libavcodec.so.62	decode_significance_skip_x86	h264_cabac.c	0x3c5280
                  get_cabac	5.264098	5.264098			0.0	0.0	0.0	0.0	libavcodec.so.62	get_cabac	cabac_functions.h	0x3c3580
                   get_cabac_inline_x86	5.264098	5.264098			0.140025	0.140025	0.0	0.0	libavcodec.so.62	get_cabac_inline_x86	cabac.h	0x3c3580
                  get_cabac	2.703662	2.703662			0.0	0.0	0.0	0.0	libavcodec.so.62	get_cabac	cabac_functions.h	0x3c7540
                   get_cabac_inline_x86	2.703662	2.703662			0.071917	0.071917	0.0	0.0	libavcodec.so.62	get_cabac_inline_x86	cabac.h	0x3c7540
                  get_cabac_bypass_x86	0.901772	0.901772			0.023987	0.023987	0.0	0.0	libavcodec.so.62	get_cabac_bypass_x86	cabac.h	0x3c74c5
                  get_cabac_bypass_x86	0.608756	0.608756			0.016193	0.016193	0.0	0.0	libavcodec.so.62	get_cabac_bypass_x86	cabac.h	0x3c7720
                get_cabac	1.807715	1.807715			0.012030	0.012030	0.0	0.0	libavcodec.so.62	get_cabac	cabac_functions.h	0x3c3580
                 get_cabac_inline_x86	1.355471	1.355471			0.036056	0.036056	0.0	0.0	libavcodec.so.62	get_cabac_inline_x86	cabac.h	0x3c3580
               decode_cabac_residual_nondc_skip	14.138454	14.138454			0.0	0.0	0.0	0.0	libavcodec.so.62	decode_cabac_residual_nondc_skip	h264_cabac.c	0x3c9220
                decode_cabac_residual_nondc_internal_skip	14.138454	14.138454			0.0	0.0	0.0	0.0	libavcodec.so.62	decode_cabac_residual_nondc_internal_skip	h264_cabac.c	0x3c7400
                 decode_cabac_residual_internal_skip	14.138454	14.138454			0.008005	0.008005	0.0	0.0	libavcodec.so.62	decode_cabac_residual_internal_skip	h264_cabac.c	0x3c7402
                  decode_significance_8x8_skip_x86	10.228433	10.228433			0.272076	0.272076	0.0	0.0	libavcodec.so.62	decode_significance_8x8_skip_x86	h264_cabac.c	0x3c7793
                  get_cabac	2.557717	2.557717			0.0	0.0	0.0	0.0	libavcodec.so.62	get_cabac	cabac_functions.h	0x3c3580
                   get_cabac_inline_x86	2.557717	2.557717			0.068035	0.068035	0.0	0.0	libavcodec.so.62	get_cabac_inline_x86	cabac.h	0x3c3580
                  get_cabac_bypass_x86	0.599725	0.599725			0.015953	0.015953	0.0	0.0	libavcodec.so.62	get_cabac_bypass_x86	cabac.h	0x3c74c5
                  get_cabac	0.451622	0.451622			0.0	0.0	0.0	0.0	libavcodec.so.62	get_cabac	cabac_functions.h	0x3c7540
                   get_cabac_inline_x86	0.451622	0.451622			0.012013	0.012013	0.0	0.0	libavcodec.so.62	get_cabac_inline_x86	cabac.h	0x3c7540
               fill_rectangle	0.451144	0.451144			0.012000	0.012000	0.0	0.0	libavcodec.so.62	fill_rectangle	rectangle.h	0x3c9310
               decode_cabac_residual_nondc_skip	0.301500	0.301500			0.0	0.0	0.0	0.0	libavcodec.so.62	decode_cabac_residual_nondc_skip	h264_cabac.c	0x3c9167
                decode_cabac_residual_nondc_internal_skip	0.301500	0.301500			0.0	0.0	0.0	0.0	libavcodec.so.62	decode_cabac_residual_nondc_internal_skip	h264_cabac.c	0x3c7400
                 decode_cabac_residual_internal_skip	0.301500	0.301500			0.0	0.0	0.0	0.0	libavcodec.so.62	decode_cabac_residual_internal_skip	h264_cabac.c	0x3c7402
                  get_cabac	0.301500	0.301500			0.0	0.0	0.0	0.0	libavcodec.so.62	get_cabac	cabac_functions.h	0x3c7540
                   get_cabac_inline_x86	0.301500	0.301500			0.008020	0.008020	0.0	0.0	libavcodec.so.62	get_cabac_inline_x86	cabac.h	0x3c7540
              decode_cabac_residual_nondc_internal_skip	11.731161	11.731161			0.008016	0.008016	0.0	0.0	libavcodec.so.62	decode_cabac_residual_nondc_internal_skip	h264_cabac.c	0x3c7400
               decode_cabac_residual_internal_skip	11.429823	11.429823			0.024010	0.024010	0.0	0.0	libavcodec.so.62	decode_cabac_residual_internal_skip	h264_cabac.c	0x3c7402
                decode_significance_skip_x86	9.325031	9.325031			0.248046	0.248046	0.0	0.0	libavcodec.so.62	decode_significance_skip_x86	h264_cabac.c	0x3c5280
                get_cabac	0.749688	0.749688			0.0	0.0	0.0	0.0	libavcodec.so.62	get_cabac	cabac_functions.h	0x3c3580
                 get_cabac_inline_x86	0.749688	0.749688			0.019942	0.019942	0.0	0.0	libavcodec.so.62	get_cabac_inline_x86	cabac.h	0x3c3580
                get_cabac	0.452475	0.452475			0.0	0.0	0.0	0.0	libavcodec.so.62	get_cabac	cabac_functions.h	0x3c7540
                 get_cabac_inline_x86	0.452475	0.452475			0.012036	0.012036	0.0	0.0	libavcodec.so.62	get_cabac_inline_x86	cabac.h	0x3c7540
              fill_decode_caches	3.603843	3.603843			0.095862	0.095862	0.0	0.0	libavcodec.so.62	fill_decode_caches	h264_mvpred.h	0x3c3850
              get_cabac_noinline	3.461417	3.461417			0.0	0.0	0.0	0.0	libavcodec.so.62	get_cabac_noinline	cabac_functions.h	0x3c34e0
               get_cabac_inline_x86	3.461417	3.461417			0.092074	0.092074	0.0	0.0	libavcodec.so.62	get_cabac_inline_x86	cabac.h	0x3c34e0
              decode_cabac_mb_mvd	3.454262	3.454262			0.039949	0.039949	0.0	0.0	libavcodec.so.62	decode_cabac_mb_mvd	h264_cabac.c	0x3c7980
               get_cabac	1.201897	1.201897			0.0	0.0	0.0	0.0	libavcodec.so.62	get_cabac	cabac_functions.h	0x3c3580
