Function	CPU Time	CPU Time:Effective Time	CPU Time:Spin Time	CPU Time:Overhead Time	Module	Function (Full)	Source File	Start Address
decode_residual_skip	0.046250	0.046250	0.0	0.0	libavcodec.so.62	decode_residual_skip	h264_cavlc.c	0x3ba960
decode_luma_residual_skip	0.038539	0.038539	0.0	0.0	libavcodec.so.62	decode_luma_residual_skip	h264_cavlc.c	0x3ba6b0
pred_motion	0.023114	0.023114	0.0	0.0	libavcodec.so.62	pred_motion	h264_mvpred.h	0x3bcfff
ff_h264_decode_mb_cavlc	0.023051	0.023051	0.0	0.0	libavcodec.so.62	ff_h264_decode_mb_cavlc	h264_cavlc.c	0x3bafc0
func@0x189480	0.013438	0.013438	0.0	0.0	libc.so.6	func@0x189480	[Unknown]	0x189480
get_ue_golomb_31	0.011567	0.011567	0.0	0.0	libavcodec.so.62	get_ue_golomb_31	golomb.h	0x3bc933
write_back_non_zero_count	0.011559	0.011559	0.0	0.0	libavcodec.so.62	write_back_non_zero_count	h264_mvpred.h	0x3bc057
get_vlc2	0.011558	0.011558	0.0	0.0	libavcodec.so.62	get_vlc2	get_bits.h	0x3baca8
fill_rectangle	0.011556	0.011556	0.0	0.0	libavcodec.so.62	fill_rectangle	rectangle.h	0x3bbfbb
fill_decode_caches	0.011549	0.011549	0.0	0.0	libavcodec.so.62	fill_decode_caches	h264_mvpred.h	0x3b7a10
get_vlc2	0.011549	0.011549	0.0	0.0	libavcodec.so.62	get_vlc2	get_bits.h	0x3bac6e
fill_rectangle	0.011541	0.011541	0.0	0.0	libavcodec.so.62	fill_rectangle	rectangle.h	0x3bd133
pred_non_zero_count	0.010731	0.010731	0.0	0.0	libavcodec.so.62	pred_non_zero_count	h264_cavlc.c	0x3ba9d4
memset	0.007710	0.007710	0.0	0.0	libavcodec.so.62	memset	string_fortified.h	0x3bb2af
ff_print_debug_info2_optimized	0.007705	0.007705	0.0	0.0	libavcodec.so.62	ff_print_debug_info2_optimized	mpegutils.c	0x71be70
pred_pskip_motion	0.007705	0.007705	0.0	0.0	libavcodec.so.62	pred_pskip_motion	h264_mvpred.h	0x3bbb5f
write_back_motion	0.007704	0.007704	0.0	0.0	libavcodec.so.62	write_back_motion	h264_mvpred.h	0x3bb340
get_vlc2	0.007695	0.007695	0.0	0.0	libavcodec.so.62	get_vlc2	get_bits.h	0x3baa2a
get_ue_golomb_31	0.007692	0.007692	0.0	0.0	libavcodec.so.62	get_ue_golomb_31	golomb.h	0x3bb5f4
get_se_golomb	0.007685	0.007685	0.0	0.0	libavcodec.so.62	get_se_golomb	golomb.h	0x3bba6e
