Function	CPU Time	CPU Time:Effective Time	CPU Time:Spin Time	CPU Time:Overhead Time	Module	Function (Full)	Source File	Start Address
get_cabac_inline_x86	0.197799	0.197799	0.0	0.0	libavcodec.so.62	get_cabac_inline_x86	cabac.h	0x4ecaa0
ff_hevc_hls_residual_coding	0.147933	0.147933	0.0	0.0	libavcodec.so.62	ff_hevc_hls_residual_coding	cabac.c	0x4efaf0
ff_hevc_export_motion_vectors	0.072227	0.072227	0.0	0.0	libavcodec.so.62	ff_hevc_export_motion_vectors	hevcdec.c	0x5a3490
mvfield_match	0.036016	0.036016	0.0	0.0	libavcodec.so.62	mvfield_match	hevcdec.c	0x5a36ae
hls_coding_unit	0.032125	0.032125	0.0	0.0	libavcodec.so.62	hls_coding_unit	hevcdec.c	0x59ad40
__memset_evex_unaligned_erms	0.020060	0.020060	0.0	0.0	libc.so.6	__memset_evex_unaligned_erms	memset-vec-unaligned-erms.S	0x1993c0
hls_transform_unit	0.020001	0.020001	0.0	0.0	libavcodec.so.62	hls_transform_unit	hevcdec.c	0x597900
mv_mp_mode_mx	0.019982	0.019982	0.0	0.0	libavcodec.so.62	mv_mp_mode_mx	mvs.c	0x5a5fcb
hls_prediction_unit	0.015949	0.015949	0.0	0.0	libavcodec.so.62	hls_prediction_unit	hevcdec.c	0x596a10
derive_spatial_merge_candidates	0.015799	0.015799	0.0	0.0	libavcodec.so.62	derive_spatial_merge_candidates	mvs.c	0x5a47a3
get_cabac_bypass_x86	0.012104	0.012104	0.0	0.0	libavcodec.so.62	get_cabac_bypass_x86	cabac.h	0x4eef10
ff_hevc_split_coding_unit_flag_decode	0.012022	0.012022	0.0	0.0	libavcodec.so.62	ff_hevc_split_coding_unit_flag_decode	cabac.c	0x4ee840
set_deblocking_bypass	0.012021	0.012021	0.0	0.0	libavcodec.so.62	set_deblocking_bypass	hevcdec.c	0x59b495
ff_hevc_cbf_cb_cr_decode	0.012011	0.012011	0.0	0.0	libavcodec.so.62	ff_hevc_cbf_cb_cr_decode	cabac.c	0x4ef560
get_cabac_bypass_x86	0.012007	0.012007	0.0	0.0	libavcodec.so.62	get_cabac_bypass_x86	cabac.h	0x4f0fc2
ff_hevc_hls_mvd_coding	0.012004	0.012004	0.0	0.0	libavcodec.so.62	ff_hevc_hls_mvd_coding	cabac.c	0x4f20a0
__GI___libc_read	0.012001	0.012001	0.0	0.0	libc.so.6	__GI___libc_read	read.c	0x11ba80
significant_coeff_flag_decode	0.011999	0.011999	0.0	0.0	libavcodec.so.62	significant_coeff_flag_decode	cabac.c	0x4f1158
get_cabac_inline_x86	0.011995	0.011995	0.0	0.0	libavcodec.so.62	get_cabac_inline_x86	cabac.h	0x4ef49b
z_scan_block_avail	0.008027	0.008027	0.0	0.0	libavcodec.so.62	z_scan_block_avail	mvs.c	0x5a5e95
temporal_luma_motion_vector	0.008002	0.008002	0.0	0.0	libavcodec.so.62	temporal_luma_motion_vector	mvs.c	0x5a4280
compare_mv_ref_idx	0.007999	0.007999	0.0	0.0	libavcodec.so.62	compare_mv_ref_idx	mvs.c	0x5a48e1
get_cabac_inline_x86	0.007995	0.007995	0.0	0.0	libavcodec.so.62	get_cabac_inline_x86	cabac.h	0x4ee8c1
get_cabac_bypass_x86	0.007986	0.007986	0.0	0.0	libavcodec.so.62	get_cabac_bypass_x86	cabac.h	0x4eeceb
mv_mp_mode_mx	0.007980	0.007980	0.0	0.0	libavcodec.so.62	mv_mp_mode_mx	mvs.c	0x5a59bb
__memmove_evex_unaligned_erms	0.007979	0.007979	0.0	0.0	libc.so.6	__memmove_evex_unaligned_erms	memmove-vec-unaligned-erms.S	0x198940
hls_coding_quadtree	0.007979	0.007979	0.0	0.0	libavcodec.so.62	hls_coding_quadtree	hevcdec.c	0x59ca30
