Function Stack	CPU Time:Total	CPU Time:Effective Time:Total	CPU Time:Spin Time:Total	CPU Time:Overhead Time:Total	CPU Time:Self	CPU Time:Effective Time:Self	CPU Time:Spin Time:Self	CPU Time:Overhead Time:Self	Module	Function (Full)	Source File	Start Address
Total	100.000000	100.000000			0.0	0.0	0.0	0.0	[Unknown]	[Unknown]	[Unknown]	[Unknown]
 _start	100.000000	100.000000			0.0	0.0	0.0	0.0	extractor4	_start	[Unknown]	0x2c50
  __libc_start_main	100.000000	100.000000			0.0	0.0	0.0	0.0	libc.so.6	__libc_start_main	[Unknown]	0x2a200
   main	100.000000	100.000000			0.0	0.0	0.0	0.0	extractor4	main	[Unknown]	0x25f0
    avcodec_send_packet	96.576095	96.576095			0.0	0.0	0.0	0.0	libavcodec.so.62	avcodec_send_packet	decode.c	0x2b5ef0
     decode_receive_frame_internal	96.576095	96.576095			0.0	0.0	0.0	0.0	libavcodec.so.62	decode_receive_frame_internal	decode.c	0x2b5b80
      ff_decode_receive_frame_internal	96.576095	96.576095			0.0	0.0	0.0	0.0	libavcodec.so.62	ff_decode_receive_frame_internal	decode.c	0x2b5650
       decode_simple_receive_frame	96.576095	96.576095			0.0	0.0	0.0	0.0	libavcodec.so.62	decode_simple_receive_frame	decode.c	0x2b5720
        decode_simple_internal	96.576095	96.576095			0.0	0.0	0.0	0.0	libavcodec.so.62	decode_simple_internal	decode.c	0x2b5720
         h264_decode_frame	96.576095	96.576095			0.0	0.0	0.0	0.0	libavcodec.so.62	h264_decode_frame	h264dec.c	0x402f70
          decode_nal_units	93.309916	93.309916			0.0	0.0	0.0	0.0	libavcodec.so.62	decode_nal_units	h264dec.c	0x403067
           ff_h264_execute_decode_slices	92.017294	92.017294			0.0	0.0	0.0	0.0	libavcodec.so.62	ff_h264_execute_decode_slices	h264_slice.c	0x3f9730
            decode_slice	92.017294	92.017294			0.0	0.0	0.0	0.0	libavcodec.so.62	decode_slice	h264_slice.c	0x3f8070
             ff_h264_decode_mb_cabac	90.058630	90.058630			0.0	0.0	0.0	0.0	libavcodec.so.62	ff_h264_decode_mb_cabac	h264_cabac.c	0x3b2710
              decode_cabac_luma_residual_skip	41.108112	41.108112			0.015411	0.015411	0.0	0.0	libavcodec.so.62	decode_cabac_luma_residual_skip	h264_cabac.c	0x3b2120
               decode_cabac_residual_nondc_skip	20.893586	20.893586			0.0	0.0	0.0	0.0	libavcodec.so.62	decode_cabac_residual_nondc_skip	h264_cabac.c	0x3b22d0
                decode_cabac_residual_nondc_internal_skip	20.893586	20.893586			0.0	0.0	0.0	0.0	libavcodec.so.62	decode_cabac_residual_nondc_internal_skip	h264_cabac.c	0x3b04b0
                 decode_cabac_residual_internal_skip	20.893586	20.893586			0.0	0.0	0.0	0.0	libavcodec.so.62	decode_cabac_residual_internal_skip	h264_cabac.c	0x3b04b2
                  decode_significance_8x8_skip_x86	15.015186	15.015186			0.088588	0.088588	0.0	0.0	libavcodec.so.62	decode_significance_8x8_skip_x86	h264_cabac.c	0x3b0843
                  get_cabac	5.878401	5.878401			0.0	0.0	0.0	0.0	libavcodec.so.62	get_cabac	cabac_functions.h	0x3ac630
                   get_cabac_inline_x86	5.878401	5.878401			0.034682	0.034682	0.0	0.0	libavcodec.so.62	get_cabac_inline_x86	cabac.h	0x3ac630
               decode_cabac_residual_nondc_skip	17.602431	17.602431			0.0	0.0	0.0	0.0	libavcodec.so.62	decode_cabac_residual_nondc_skip	h264_cabac.c	0x3b2440
                decode_cabac_residual_nondc_internal_skip	16.296683	16.296683			0.0	0.0	0.0	0.0	libavcodec.so.62	decode_cabac_residual_nondc_internal_skip	h264_cabac.c	0x3b04b0
                 decode_cabac_residual_internal_skip	16.296683	16.296683			0.011539	0.011539	0.0	0.0	libavcodec.so.62	decode_cabac_residual_internal_skip	h264_cabac.c	0x3b04b2
                  decode_significance_skip_x86	14.340960	14.340960			0.084610	0.084610	0.0	0.0	libavcodec.so.62	decode_significance_skip_x86	h264_cabac.c	0x3ae330
                get_cabac	1.305748	1.305748			0.0	0.0	0.0	0.0	libavcodec.so.62	get_cabac	cabac_functions.h	0x3ac630
                 get_cabac_inline_x86	1.305748	1.305748			0.007704	0.007704	0.0	0.0	libavcodec.so.62	get_cabac_inline_x86	cabac.h	0x3ac630
              get_cabac_noinline	9.791599	9.791599			0.0	0.0	0.0	0.0	libavcodec.so.62	get_cabac_noinline	cabac_functions.h	0x3ac590
               get_cabac_inline_x86	9.791599	9.791599			0.057769	0.057769	0.0	0.0	libavcodec.so.62	get_cabac_inline_x86	cabac.h	0x3ac590
              decode_cabac_mb_mvd	9.788787	9.788787			0.030788	0.030788	0.0	0.0	libavcodec.so.62	decode_cabac_mb_mvd	h264_cabac.c	0x3b0a30
               get_cabac	2.611509	2.611509			0.0	0.0	0.0	0.0	libavcodec.so.62	get_cabac	cabac_functions.h	0x3b0a80
                get_cabac_inline_x86	2.611509	2.611509			0.015408	0.015408	0.0	0.0	libavcodec.so.62	get_cabac_inline_x86	cabac.h	0x3b0a80
               get_cabac	1.958797	1.958797			0.0	0.0	0.0	0.0	libavcodec.so.62	get_cabac	cabac_functions.h	0x3ac630
                get_cabac_inline_x86	1.958797	1.958797			0.011557	0.011557	0.0	0.0	libavcodec.so.62	get_cabac_inline_x86	cabac.h	0x3ac630
              decode_cabac_residual_nondc_skip	3.917590	3.917590			0.011553	0.011553	0.0	0.0	libavcodec.so.62	decode_cabac_residual_nondc_skip	h264_cabac.c	0x3b1fa0
               get_cabac	1.959465	1.959465			0.0	0.0	0.0	0.0	libavcodec.so.62	get_cabac	cabac_functions.h	0x3b1ff9
                get_cabac_inline_x86	1.959465	1.959465			0.011561	0.011561	0.0	0.0	libavcodec.so.62	get_cabac_inline_x86	cabac.h	0x3b1ff9
              decode_mb_skip	3.913505	3.913505			0.0	0.0	0.0	0.0	libavcodec.so.62	decode_mb_skip	h264_mvpred.h	0x3b2f07
               fill_decode_caches	3.913505	3.913505			0.023089	0.023089	0.0	0.0	libavcodec.so.62	fill_decode_caches	h264_mvpred.h	0x3ac900
              decode_cabac_mb_ref	3.910114	3.910114			0.023069	0.023069	0.0	0.0	libavcodec.so.62	decode_cabac_mb_ref	h264_cabac.c	0x3afb30
              decode_cabac_mb_cbp_luma	3.903605	3.903605			0.0	0.0	0.0	0.0	libavcodec.so.62	decode_cabac_mb_cbp_luma	h264_cabac.c	0x3b3d00
               get_cabac_noinline	3.903605	3.903605			0.0	0.0	0.0	0.0	libavcodec.so.62	get_cabac_noinline	cabac_functions.h	0x3ac590
                get_cabac_inline_x86	3.903605	3.903605			0.023031	0.023031	0.0	0.0	libavcodec.so.62	get_cabac_inline_x86	cabac.h	0x3ac590
              decode_cabac_residual_nondc_internal_skip	3.267113	3.267113			0.0	0.0	0.0	0.0	libavcodec.so.62	decode_cabac_residual_nondc_internal_skip	h264_cabac.c	0x3b04b0
               decode_cabac_residual_internal_skip	3.267113	3.267113			0.0	0.0	0.0	0.0	libavcodec.so.62	decode_cabac_residual_internal_skip	h264_cabac.c	0x3b04b2
                decode_significance_skip_x86	3.267113	3.267113			0.019276	0.019276	0.0	0.0	libavcodec.so.62	decode_significance_skip_x86	h264_cabac.c	0x3ae330
              write_back_non_zero_count	3.264940	3.264940			0.019263	0.019263	0.0	0.0	libavcodec.so.62	write_back_non_zero_count	h264_mvpred.h	0x3b35b5
              decode_cabac_mb_cbp_chroma	1.968235	1.968235			0.0	0.0	0.0	0.0	libavcodec.so.62	decode_cabac_mb_cbp_chroma	h264_cabac.c	0x3b3dc2
               get_cabac_noinline	1.968235	1.968235			0.0	0.0	0.0	0.0	libavcodec.so.62	get_cabac_noinline	cabac_functions.h	0x3ac590
                get_cabac_inline_x86	1.968235	1.968235			0.011612	0.011612	0.0	0.0	libavcodec.so.62	get_cabac_inline_x86	cabac.h	0x3ac590
              fill_decode_caches	1.960515	1.960515			0.011567	0.011567	0.0	0.0	libavcodec.so.62	fill_decode_caches	h264_mvpred.h	0x3ac900
              decode_cabac_residual_dc_skip	1.958338	1.958338			0.011554	0.011554	0.0	0.0	libavcodec.so.62	decode_cabac_residual_dc_skip	h264_cabac.c	0x3b1ce0
              decode_cabac_residual_dc_internal_skip	1.306177	1.306177			0.0	0.0	0.0	0.0	libavcodec.so.62	decode_cabac_residual_dc_internal_skip	h264_cabac.c	0x3afcb0
               decode_cabac_residual_internal_skip	1.306177	1.306177			0.0	0.0	0.0	0.0	libavcodec.so.62	decode_cabac_residual_internal_skip	h264_cabac.c	0x3afcbc
